script,grapheme,IPA,comment,source,omniglot
Bengali,অ,ɔ,default vowel,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,অ,o,,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,উ,u,,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ু,u,after a consonant,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,উ,u:,,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ু,u:,after a consonant,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,এ,e,,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ে,e,after a consonant,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,এ,æ,,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ে,æ,after a consonant,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,আ,a,,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,া,a,after a consonant,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,আ,a:,,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,া,a:,after a consonant,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ঊ,u,,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ূ,u,after a consonant,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ঊ,u:,,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ূ,u:,after a consonant,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ঐ,oi,,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ৈ,oi,after a consonant,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ই,i,,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ি,i,after a consonant,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ই,i:,,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ি,i:,after a consonant,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ঈ,i,,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ী,i,after a consonant,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ঈ,i:,,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ী,i:,after a consonant,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ঋ,ri,,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ৃ,ri,after a consonant,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ও,o,,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ো,o,after a consonant,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ঔ,ou,,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ৌ,ou,after a consonant,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ঃ,ḥ,,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ং,ŋ,,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ঁ,◌̃,,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,्,,supresses inherent vowel,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,‍্য,ː,length,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,ক,kɔ,,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
Bengali,খ,kʰɔ,,Thompson 2012: 28-35.,https://www.omniglot.com/writing/bengali.htm
