script,grapheme,IPA,comment,source,omniglot
Dhivehi (Thaana),ަ,ə,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ާ,əː,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ި,i,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ީ,iː,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ު,u,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ޫ,uː,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ެ,e,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ޭ,eː,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ޮ,ɔ,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ޯ,ɔː,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ް,,absence of a vowel,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ހ‎,h,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ށ‎,ʂ,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ނ‎,n,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ނ‎,ᵑ,"prenasalisation in front of b, d, g, ɖ",Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ރ‎,r,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ބ‎,b,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ޅ‎,ɭ,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ކ‎,k,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),އ‎,,carrier for vowels;,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),އ‎,,"when used with a grapheme indicating the absence of a sound, denotes gemination of the following consonant",Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ވ‎,v,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),މ‎,m,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ފ‎,f,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ދ‎,d̪,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ތ‎,t̪,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ލ‎,l,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ގ‎,ɡ,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ޏ‎,ɲ,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ސ‎,s,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ޑ‎,ɖ,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ޒ‎,z,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ޓ‎,ʈ,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ޔ‎,j,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ޕ‎,p,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ޖ‎,dʒ,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ޗ‎,tʃ,,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ޘ‎,θ,Arabic-to-Maldivian transliteration ,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ޙ‎,ћ,Arabic-to-Maldivian transliteration ,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ޚ‎,x,Arabic-to-Maldivian transliteration ,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ޛ‎,ð,Arabic-to-Maldivian transliteration ,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ޜ‎,z,Arabic-to-Maldivian transliteration ,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
Dhivehi (Thaana),ޜ‎,ʒ,English-to-Maldivian transliteration,Gnanadesikan 2012.,https://www.omniglot.com/writing/thaana.htm
