script,grapheme,IPA,comment,source,omniglot
Hindi (Devanāgarī),अ,ə,occurs on word initial and medial positions,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),आ,a,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),इ,i,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ई,iː,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),उ,u,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ऊ,uː,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ए,e,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ऐ,ɛ,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ओ,o,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),औ,ɔ,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ॠ,ri,only in Sanskrit borrowings,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),अं,əṃ,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),अः,əḥ,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ा,a,after a consonant,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ि,i,after a consonant,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ी,iː,after a consonant,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ु,u,after a consonant,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ू,uː,after a consonant,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ो,o,after a consonant,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ौ,ɔ,after a consonant,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),े,e,after a consonant,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ै,ɛ,after a consonant,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),्,,supresses inherent vowel,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ृ,ri,after a consonant,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ं,◌̃,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ँ,◌̃,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ः,ḥ,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),क,kə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ख,kʰə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ग,gə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),घ,gʰə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ङ,ŋə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),च,cə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),छ,cʰə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ज,ɟə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),झ,ɟʰə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ण,ɳə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ट,ʈə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ठ,ʈʰə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ड,ɖə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ढ,ɖʰə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ञ,ɲə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),त,tə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),थ,tʰə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),द,də,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ध,dʰə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),न,nə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),प,pə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),फ,pʰə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ब,bə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),भ,bʰə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),म,mə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),य,jə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),र,rə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ल,lə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),व,wə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),व,və,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),श,ʃə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ष,ʂə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),स,sə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ह,hə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ड़,ɾə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ढ़,ɾʰə,,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ज्ञ,ɡyə̃,mainly in Sanskrit borrowings,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),त्र,trə,mainly in Sanskrit borrowings,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),क्ष,kʂə,mainly in Sanskrit borrowings,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),क़,qə,in Perso-Arabic borrowings,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ख़,xə,in Perso-Arabic borrowings,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ग़,ɣə,in Perso-Arabic borrowings,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ज़,zə,in Perso-Arabic and English borrowings,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),फ़,fə,in Perso-Arabic and English borrowings,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),झ़,ʒə,in conjucts,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),क्ठ,k,the element written to the right of a grapheme (here ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ख्ठ,kʰ,the element written to the right of a grapheme (here ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ग्ठ,g,the element written to the right of a grapheme (here ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),घ्ठ,gʰ,the element written to the right of a grapheme (here ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),च्ठ,cə,the element written to the right of a grapheme (here ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ज्ठ,ɟ,the element written to the right of the grapheme (here ठ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),झ्ठ,ɟʰ,the element written to the right of the grapheme (here ठ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ण्ठ,ɳ,the element written to the right of the grapheme (here ठ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ञ्ठ,ɲ,the element written to the right of the grapheme (here ठ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),त्ठ,t,the element written to the right of the grapheme (here ठ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),थ्ठ,tʰ,the element written to the right of the grapheme (here ठ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ध्ठ,dʰ,the element written to the right of the grapheme (here ठ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),न्ठ,n,the element written to the right of the grapheme (here ठ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),प्ठ,p,the element written to the right of the grapheme (here ठ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),फ्ठ,pʰ,the element written to the right of the grapheme (here ठ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ब्ठ,b,the element written to the right of the grapheme (here ठ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),भ्ठ,bʰ,the element written to the right of the grapheme (here ठ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),म्ठ,m,the element written to the right of the grapheme (here ठ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),य्ठ,j,the element written to the right of the grapheme (here ठ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),र्ठ,d,the element written above the grapheme (here ठ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ल्ठ,l,the element written above the grapheme (here ठ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),व्ठ,w,the element written above the grapheme (here ठ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),व्ठ,v,the element written above the grapheme (here ठ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),श्ठ,ʃ,the element written above the grapheme (here ठ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ष्ठ,ʂ,the element written above the grapheme (here ठ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),स्ठ,s,the element written above the grapheme (here ठ) denotes the first sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),द्व,d,rare; with द /d/ the element written under द denotes the second sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
Hindi (Devanāgarī),ह,h,rare; with ह /h/ the element written inside ह denotes the second sound  in a consonant cluster,Kachru 2006: 37-40.,http://www.omniglot.com/writing/hindi.htm
