script,grapheme,IPA,comment,source,omniglot
Kannada,ಅ,ʌ,,Spencer & Perston 1950: 6-25.,https://www.omniglot.com/writing/kannada.htm
Kannada,ಅ,ə,,Spencer & Perston 1950: 6-25.,https://www.omniglot.com/writing/kannada.htm
Kannada,ಆ,aː,,Spencer & Perston 1950: 6-25.,https://www.omniglot.com/writing/kannada.htm
Kannada,ಇ,i,,Spencer & Perston 1950: 6-25.,https://www.omniglot.com/writing/kannada.htm
Kannada,ಈ,iː,,Spencer & Perston 1950: 6-25.,https://www.omniglot.com/writing/kannada.htm
Kannada,ಉ,u,,Spencer & Perston 1950: 6-25.,https://www.omniglot.com/writing/kannada.htm
Kannada,ಊ,uː,,Spencer & Perston 1950: 6-25.,https://www.omniglot.com/writing/kannada.htm
Kannada,ಋ,ɹ,,Spencer & Perston 1950: 6-25.,https://www.omniglot.com/writing/kannada.htm
Kannada,ಎ,e,,Spencer & Perston 1950: 6-25.,https://www.omniglot.com/writing/kannada.htm
Kannada,ಏ,eː,,Spencer & Perston 1950: 6-25.,https://www.omniglot.com/writing/kannada.htm
Kannada,ಐ,əi,,Spencer & Perston 1950: 6-25.,https://www.omniglot.com/writing/kannada.htm
Kannada,ಒ,o,,Spencer & Perston 1950: 6-25.,https://www.omniglot.com/writing/kannada.htm
Kannada,ಓ,oː,,Spencer & Perston 1950: 6-25.,https://www.omniglot.com/writing/kannada.htm
Kannada,ಔ,əu,,Spencer & Perston 1950: 6-25.,https://www.omniglot.com/writing/kannada.htm
Kannada,ಾ,aː,after a consonant,Spencer & Perston 1950: 6-25.,https://www.omniglot.com/writing/kannada.htm
Kannada,ಿ,i,after a consonant,Spencer & Perston 1950: 6-25.,https://www.omniglot.com/writing/kannada.htm
Kannada,ೀ,iː,after a consonant,Spencer & Perston 1950: 6-25.,https://www.omniglot.com/writing/kannada.htm
Kannada,ು,u,after a consonant,Spencer & Perston 1950: 6-25.,https://www.omniglot.com/writing/kannada.htm
Kannada,ೂ,uː,after a consonant,Spencer & Perston 1950: 6-25.,https://www.omniglot.com/writing/kannada.htm
Kannada,ೃ,ɹ,after a consonant,Spencer & Perston 1950: 6-25.,https://www.omniglot.com/writing/kannada.htm
Kannada,ೆ,e,after a consonant,Spencer & Perston 1950: 6-25.,https://www.omniglot.com/writing/kannada.htm
Kannada,ೇ,eː,after a consonant,Spencer & Perston 1950: 6-25.,https://www.omniglot.com/writing/kannada.htm
