script,grapheme,IPA,comment,source,omniglot
Panjabi (Gurmukhi),ਕ,kə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਚ,t͡ʃə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਟ,ʈə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਤ,tə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਪ,pə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਯ,jə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਖ,kʰə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਛ,t͡ʃʰə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਠ,ʈʰə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਥ,tʰə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਫ,pʰə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਰ,ɾə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਗ,ɡə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਜ,d͡ʒə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਡ,ɖə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਦ,də,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਬ,bə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਲ,lə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਘ,ɡʱə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਝ,d͡ʒʱə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਢ,ɖʱə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਧ,dʱə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਭ,bʱə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਵ,vʱə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਸ,sə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਹ,ɦə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ੳ,,vowel bearer for u uː o,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਅ,,vowel bearer for ɑ ɑː ɛ ɔ,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ੲ,,vowel bearer for i iː e,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਙ,ŋə,rarely used,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਞ,ɲə,rarely used,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਣ,ɳə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਨ,nə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਮ,mə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ੜ,ɽə,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਸ਼,ʃə,mostly in loanwords,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਖ਼,xə,mostly in loanwords,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਗ਼,ɣə,mostly in loanwords,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਜ਼,zə,mostly in loanwords,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਫ਼,fə,mostly in loanwords,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਾ,ɑː,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ਿ,I,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ੀ,iː,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ੁ,u,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ੂ,uː,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ੇ,e,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
Panjabi (Gurmukhi),ੈ,ɛ,,Bhardwaj 2013: 6-23.,https://www.omniglot.com/writing/punjabi.htm
