script,grapheme,IPA,comment,source,omniglot
Telugu,అ,a,,Krishnamurti & Gwynn 1985: 3-31,https://www.omniglot.com/writing/telugu.htm
Telugu,ఆ,aː,,Krishnamurti & Gwynn 1985: 3-32,https://www.omniglot.com/writing/telugu.htm
Telugu,ఇ,i,,Krishnamurti & Gwynn 1985: 3-33,https://www.omniglot.com/writing/telugu.htm
Telugu,ఈ,iː,,Krishnamurti & Gwynn 1985: 3-34,https://www.omniglot.com/writing/telugu.htm
Telugu,ఇ,yi,at the beginning of the word in isolation,Krishnamurti & Gwynn 1985: 3-35,https://www.omniglot.com/writing/telugu.htm
Telugu,ఈ,yiː,at the beginning of the word in isolation,Krishnamurti & Gwynn 1985: 3-36,https://www.omniglot.com/writing/telugu.htm
Telugu,ఉ,u,,Krishnamurti & Gwynn 1985: 3-35,https://www.omniglot.com/writing/telugu.htm
Telugu,ఊ,uː,,Krishnamurti & Gwynn 1985: 3-36,https://www.omniglot.com/writing/telugu.htm
Telugu,ఉ,wu,at the beginning of the word in isolation,Krishnamurti & Gwynn 1985: 3-35,https://www.omniglot.com/writing/telugu.htm
Telugu,ఊ,wuː,at the beginning of the word in isolation,Krishnamurti & Gwynn 1985: 3-36,https://www.omniglot.com/writing/telugu.htm
Telugu,ఎ,e,,Krishnamurti & Gwynn 1985: 3-37,https://www.omniglot.com/writing/telugu.htm
Telugu,ఏ,eː,,Krishnamurti & Gwynn 1985: 3-38,https://www.omniglot.com/writing/telugu.htm
Telugu,ఎ,ye,at the beginning of the word in isolation,Krishnamurti & Gwynn 1985: 3-37,https://www.omniglot.com/writing/telugu.htm
Telugu,ఏ,yeː,at the beginning of the word in isolation,Krishnamurti & Gwynn 1985: 3-38,https://www.omniglot.com/writing/telugu.htm
Telugu,ఐ,ai,,Krishnamurti & Gwynn 1985: 3-39,https://www.omniglot.com/writing/telugu.htm
Telugu,ఐ,ayi,,Krishnamurti & Gwynn 1985: 3-39,https://www.omniglot.com/writing/telugu.htm
Telugu,ఒ,o,,Krishnamurti & Gwynn 1985: 3-40,https://www.omniglot.com/writing/telugu.htm
Telugu,ఓ,oː,,Krishnamurti & Gwynn 1985: 3-41,https://www.omniglot.com/writing/telugu.htm
Telugu,ఔ,au,,Krishnamurti & Gwynn 1985: 3-42,https://www.omniglot.com/writing/telugu.htm
Telugu,ఋ,ru,in borrowings,Krishnamurti & Gwynn 1985: 3-43,https://www.omniglot.com/writing/telugu.htm
Telugu,ౠ,ru,in borrowings; extremely rare ,Krishnamurti & Gwynn 1985: 3-44,https://www.omniglot.com/writing/telugu.htm
Telugu,ఌ,lu,in borrowings,Krishnamurti & Gwynn 1985: 3-45,https://www.omniglot.com/writing/telugu.htm
Telugu,ౡ,lu,in borrowings; extremely rare ,Krishnamurti & Gwynn 1985: 3-46,https://www.omniglot.com/writing/telugu.htm
Telugu,్ ,,supresses the vowel,Krishnamurti & Gwynn 1985: 3-47,https://www.omniglot.com/writing/telugu.htm
Telugu,ం,ŋ,before k g,Krishnamurti & Gwynn 1985: 3-48,https://www.omniglot.com/writing/telugu.htm
Telugu,ం,ñ,before c j with a front vowel,Krishnamurti & Gwynn 1985: 3-49,https://www.omniglot.com/writing/telugu.htm
Telugu,ం,n,before c j with a back vowel,Krishnamurti & Gwynn 1985: 3-50,https://www.omniglot.com/writing/telugu.htm
Telugu,ం,ɳ,before ʈ ɖ,Krishnamurti & Gwynn 1985: 3-51,https://www.omniglot.com/writing/telugu.htm
Telugu,ం,w̃,at the end of a word/before w ʃ ʂ h,Krishnamurti & Gwynn 1985: 3-52,https://www.omniglot.com/writing/telugu.htm
Telugu,ఁ,◌̃ ,,Krishnamurti & Gwynn 1985: 3-53,https://www.omniglot.com/writing/telugu.htm
Telugu,ః,ḥ,,Krishnamurti & Gwynn 1985: 3-54,https://www.omniglot.com/writing/telugu.htm
Telugu,ా ,aː,,Krishnamurti & Gwynn 1985: 3-55,https://www.omniglot.com/writing/telugu.htm
Telugu,ా ,æː ,,Krishnamurti & Gwynn 1985: 3-56,https://www.omniglot.com/writing/telugu.htm
,типа глоттал стоп с другую сторону,aː,в [haː],,
Telugu,ి,i,,Krishnamurti & Gwynn 1985: 3-57,https://www.omniglot.com/writing/telugu.htm
Telugu,ీ,iː,,Krishnamurti & Gwynn 1985: 3-58,https://www.omniglot.com/writing/telugu.htm
Telugu,ు,u,,Krishnamurti & Gwynn 1985: 3-59,https://www.omniglot.com/writing/telugu.htm
